StockCode,StockName,Category
6752,叡揚,30
8354,冠好,20
6716,應廣,24
3322,建舜電,28
4584,君帆,05
6122,擎邦,05
3581,博磊,24
5514,三豐,14
6496,科懋,22
8109,博大,28
5516,雙喜,14
3490,單井,26
8277,商丞,24
6548,長科*,24
6667,信紘科,31
8027,鈦昇,05
6461,益得,22
3095,及成,27
5015,華祺,10
2754,亞洲藏壽司,16
3289,宜特,31
6237,驊訊,24
5274,信驊,24
4120,友華,22
8291,尚茂,28
4147,中裕,22
3078,僑威,28
8038,長園科,28
7715,裕山,35
3288,點晶,28
6516,勤崴國際,30
3290,東浦,28
6222,立軒,26
4729,熒茂,26
6151,晉倫,31
6236,中湛,20
6240,松崗,30
7747,昕奇雲端,36
2947,振宇五金,38
3691,碩禾,26
3483,力致,25
8111,立碁,26
6690,安碁資訊,36
1742,台蠟,21
4747,強生,22
6903,巨漢,31
4538,大詠城,05
6470,宇智,27
4114,健喬,22
6221,晉泰,30
8067,志旭,29
3363,上詮,27
8080,泰霖,14
4513,福裕,05
3551,世禾,35
8071,能率網通,28
8424,惠普,14
5009,榮剛,10
6111,大宇資,32
6186,新潤,14
5489,彩富,31
3147,大綜,30
3105,穩懋,24
5512,力麒,14
4523,永彰,05
4745,合富-KY,22
4706,大恭,21
6661,威健生技,22
5398,慕康生醫,20
3163,波若威,27
6574,霈方,22
6290,良維,28
6124,業強,28
3227,原相,24
4502,健信,05
4116,明基醫,22
3522,御嵿,16
4971,IET-KY,24
8906,花王,20
6590,普鴻,30
1777,生泰,22
4192,杏國,22
3228,金麗科,24
3516,亞帝歐,26
3402,漢科,31
5291,邑昇,28
5498,凱崴,28
4987,科誠,25
5321,美而快,36
5468,凱鈺,24
6101,寬魚國際,32
8917,欣泰,23
8444,綠河-KY,20
6953,家碩,24
3071,協禧,25
5312,寶島科,22
8916,光隆,20
2916,滿心,38
3587,閎康,31
6509,聚和,21
6875,國邑*,22
3537,堡達,28
5205,中茂,35
6617,共信-KY,22
6109,亞元,27
8255,朋程,05
6485,點序,24
6727,亞泰金屬,28
4157,太景*-KY,22
5287,數字,36
6596,寬宏藝術,32
6512,啟發電,31
5902,德記,38
7704,明遠精密,24
4580,捷流閥業,05
