排 行, 股票代號, 股票名稱, 成交張數
"629","5291","邑昇","13,800"
"630","2718","晶悅","13,737"
"631","6508","惠光","13,618"
"632","6482","弘煜科","13,456"
"633","3388","崇越電通","13,343"
"634","4535","至興精機","13,331"
"635","6514","芮特-KY","13,240"
"636","3288","點晶科技","13,171"
"637","4417","金洲製網","13,168"
"638","5701","劍湖山","13,104"
"639","4706","大恭化學","13,073"
"640","2640","大車隊","12,818"
"641","4554","橙的","12,679"
"642","6642","富致","12,614"
"643","6506","雙邦實業","12,586"
"644","4558","寶緯","12,547"
"645","1796","金穎生技","12,157"
"646","8409","商之器","12,082"
"647","6804","明係","12,059"
"648","6870","騰雲","12,047"
"649","6496","科懋","12,027"
"650","5301","寶得利","11,970"
"651","3555","博士旺","11,898"
"652","5903","全家","11,817"
"653","4304","勝昱科技","11,783"
"654","5287","數字","11,779"
"655","6697","東捷資訊","11,707"
"656","3577","泓格科技","11,584"
"657","6874","倍力","11,474"
"658","3259","鑫創科技","11,347"
"659","6174","安碁科技","11,062"
"660","6259","百徽","10,690"
"661","4406","新昕纖維","10,555"
"662","5015","華祺工業","10,447"
"663","2063","世鎧精密","10,422"
"664","1595","川寶","10,415"
"665","4972","湯石照明","10,379"
"666","5704","老爺知","10,360"
"667","4163","鐿鈦","10,307"
"668","6512","啟發電","10,252"
"669","5548","安倉","10,246"
"670","5489","彩富電子","10,220"
"671","4198","欣大健康","10,165"
"672","4741","泓瀚","10,021"
"673","6803","崑鼎","9,900"
"674","6821","聯寶","9,791"
"675","5245","智晶","9,772"
"676","5703","亞都麗緻","9,561"
"677","3523","迎輝科技","9,493"
"678","1599","宏佳騰","9,474"
"679","2756","聯發國際","9,437"
"680","5276","達輝-KY","9,430"
"681","3349","寶德","9,391"
"682","1813","寶利徠","9,325"
"683","8420","明揚","9,203"
"684","6763","綠界科技","8,958"
"685","8908","欣雄","8,903"
"686","5543","桓鼎-KY","8,902"
"687","4577","達航科技","8,871"
"688","4433","興采","8,685"
"689","4131","浩泰","8,643"
"690","6590","普鴻","8,578"
"691","5220","萬達光電","8,482"
"692","4528","江興鍛壓","8,470"
"693","8455","大拓-KY","8,443"
"694","2724","藝舍-KY","8,427"
"695","4175","杏一","8,406"
"696","6899","創為精密","8,401"
"697","6210","慶生電子","8,376"
"698","6154","順發電腦","8,365"
"699","5228","鈺鎧","8,308"
"700","3191","雲嘉南","8,229"
"701","6195","詩肯","8,217"
"702","5013","強新工業","8,192"
"703","4154","樂威科-KY","8,185"
"704","5348","正能量智能","8,056"
"705","6212","理銘科技","7,955"
"706","5902","德記洋行","7,944"
"707","5212","凌網科技","7,854"
"708","4745","合富-KY","7,820"
"709","8444","綠河-KY","7,641"
"710","4502","健信科技","7,539"
"711","6527","明達醫","7,538"
"712","4584","君帆","7,507"
"713","8291","尚茂","7,480"
"714","4767","誠泰科技","7,471"
"715","4806","桂田文創","7,458"
"716","9960","邁達康","7,438"
"717","8042","金山電子","7,407"
"718","2067","嘉鋼","7,387"
"719","6649","台生材","7,344"
"720","2926","誠品生活","7,249"
"721","8066","來思達","7,193"
"722","6767","台微醫","7,125"
"723","2726","雅茗-KY","7,005"
"724","3531","先益電子","7,004"
"725","6516","勤崴國際","6,952"
"726","6144","得利影視","6,922"
"727","6855","數泓科","6,819"
"728","3310","佳穎精密","6,750"
"729","6823","濾能","6,640"
"730","8284","三竹","6,573"
"731","4911","德英","6,406"
"732","6221","晉泰科技","6,397"
"733","6840","東研信超","6,302"
"734","4139","馬光-KY","6,136"
"735","2064","晉椿","6,051"
"736","6859","伯特光","6,011"
"737","4419","皇家美食","6,009"
"738","6844","諾貝兒","5,878"
"739","1240","茂生農經","5,864"
"740","8416","實威","5,787"
"741","8067","志旭國際","5,769"
"742","6929","佑全","5,756"
"743","4987","科誠","5,707"
"744","2221","大甲","5,668"
"745","4205","中華食品","5,254"
"746","4442","竣邦-KY","5,245"
"747","1788","杏昌生技","5,201"
"748","1593","祺驊","5,132"
"749","4609","唐鋒實業","5,103"
"750","3632","研勤科技","5,096"
"751","6865","偉康科技","4,904"
"752","4712","南璋","4,851"
"753","8941","關中","4,758"
"754","6728","上洋","4,748"
"755","6662","樂斯科","4,712"
"756","6791","虎門科技","4,688"
"757","4192","杏國","4,658"
"758","4530","宏易","4,581"
"759","7556","意德士","4,429"
"760","6542","隆中","4,417"
"761","5455","昇益","4,404"
"762","4305","世坤塑膠","4,385"
"763","6708","天擎","4,353"
"764","5345","天揚","4,318"
"765","6242","立康","4,298"
"766","8917","欣泰","4,289"
"767","2949","欣新網","4,259"
"768","6654","天正國際","4,258"
"769","7584","樂意","4,086"
"770","2755","揚秦","4,074"
"771","2235","謚源","4,032"
"772","3226","至寶光電","4,031"
"773","6020","大展證券","3,956"
"774","8923","時報出版","3,863"
"775","8032","光菱電子","3,853"
"776","2073","雄順","3,847"
"777","4430","耀億","3,823"
"778","6624","萬年清","3,783"
"779","4946","紅心辣椒","3,766"
"780","4416","三圓建設","3,763"
"781","4568","科際精密","3,760"
"782","3465","進泰電子","3,663"
"783","6747","亨泰光","3,653"
"784","6846","綠茵","3,625"
"785","6751","智聯服務","3,611"
"786","3064","泰偉電子","3,598"
"787","6968","萬達寵物","3,502"
"788","6574","霈方","3,204"
"789","3684","榮昌","3,140"
"790","6904","伯鑫","3,125"
"791","8424","惠普","3,092"
"792","8342","益張","3,044"
"793","5278","尚凡","3,043"
"794","8472","夠麻吉","2,988"
"795","3426","台興","2,881"
"796","3115","富榮綱","2,876"
"797","2035","唐榮公司","2,828"
"798","3629","地心引力","2,770"
"799","5205","中茂","2,766"
"800","6856","鑫傳","2,740"
"801","6721","信實","2,720"
"802","2937","集雅社","2,701"
"803","8077","洛碁實業","2,620"
"804","2948","寶陞","2,552"
"805","3332","幸康電子","2,518"
"806","6843","進典","2,488"
"807","5520","力泰建設","2,467"
"808","8921","沈氏印刷","2,453"
"809","1259","安心","2,349"
"810","3085","新零售","2,340"
"811","2941","米斯特","2,294"
"812","2947","振宇五金","2,280"
"813","5016","松和工業","1,992"
"814","1264","德麥","1,977"
"815","3067","全域","1,956"
"816","5878","台名","1,852"
"817","6739","竹陞科技","1,821"
"818","8279","生展","1,723"
"819","6881","潤德","1,544"
"820","2924","宏太-KY","1,514"
"821","6680","鑫創電子","1,457"
"822","2752","豆府","1,396"
"823","8349A","恒耀甲特","1,328"
"824","6287","元隆電子","1,036"
"825","6762","達亞","955"
"826","5601","台聯貨櫃","781"
"827","8418","捷必勝-KY","757"
"828","6236","中湛","666"
"829","2740","天蔥","481"
"830","6103","合邦電子","358"
不含使用綜合帳戶之投信買賣量
